0.025670x + 11292.81=11573.186848523492	 6128 Points (+/- 96.32684852349121)	[8/11/2019 - 22:12:40]
0.025673x + 11292.81=11573.372115835255	 6130 Points (+/- 96.51211583525401)	[8/11/2019 - 22:13:4]
0.025675x + 11292.81=11576.598250817844	 6131 Points (+/- 102.87825081784467)	[8/11/2019 - 22:13:28]
0.025677x + 11292.81=11576.770335895744	 6133 Points (+/- 103.05033589574487)	[8/11/2019 - 22:13:52]
0.025678x + 11292.81=11576.85628608414	 6134 Points (+/- 103.13628608414001)	[8/11/2019 - 22:14:17]
0.008382x + 11292.81=11783.418648121078	 8225 Points (+/- 950.8486481210784)	[8/13/2019 - 20:15:35]
0.008174x + 11292.81=11778.595901001005	 8229 Points (+/- 944.5559010010038)	[8/13/2019 - 20:16:35]
0.007967x + 11292.81=11775.577834811409	 8233 Points (+/- 941.8178348114088)	[8/13/2019 - 20:17:29]
0.007345x + 11292.81=11184.27098114084	 8245 Points (+/- 360.0909811408401)	[8/13/2019 - 20:20:42]
0.007241x + 11292.81=11183.008667749345	 8247 Points (+/- 358.8286677493452)	[8/13/2019 - 20:21:6]
0.007188x + 11292.81=11182.280714176235	 8248 Points (+/- 369.2307141762358)	[8/13/2019 - 20:21:31]
0.007082x + 11292.81=11180.84021931467	 8250 Points (+/- 367.79021931467105)	[8/13/2019 - 20:21:55]
0.006976x + 11292.81+..~..=11179.396409345458	 8252 Points (+/- 368.9664093454576)	[8/13/2019 - 20:22:20]
0.006923x + 11292.81+..~..=11178.670552112924	 8253 Points (+/- 368.240552112924)	[8/13/2019 - 20:22:44]
0.006817x + 11292.81+..~..=11177.23290537625	 8255 Points (+/- 366.8029053762493)	[8/13/2019 - 20:23:8]
0.006764x + 11292.81+..~..=11176.523332275194	 8256 Points (+/- 365.77333227519375)	[8/13/2019 - 20:23:33]
0.006659x + 11292.81+..~..=11175.116434922027	 8258 Points (+/- 364.3664349220271)	[8/13/2019 - 20:23:57]
0.006553x + 11292.81+..~..=11173.711472623041	 8260 Points (+/- 364.6914726230407)	[8/13/2019 - 20:24:21]
0.006500x + 11292.81+..~..=11173.008002868912	 8261 Points (+/- 363.9880028689113)	[8/13/2019 - 20:24:46]
0.006394x + 11292.81+..~..=11171.612066715961	 8263 Points (+/- 362.59206671596075)	[8/13/2019 - 20:25:10]
